technique,trimester_t,trimester_t1,n_spans_t,n_spans_t1,cosine_distance
smears/doubt,2024-S1,2024-S2,543215,397169,0.018315053358591515
thought-terminating cliché,2020-S1,2020-S2,18136,19628,0.0013626816645715412
thought-terminating cliché,2020-S2,2021-S1,19628,71737,0.0009372575892280244
thought-terminating cliché,2021-S1,2021-S2,71737,56918,0.0008482469649185864
thought-terminating cliché,2021-S2,2022-S1,56918,52599,0.0004446938719226967
thought-terminating cliché,2022-S1,2022-S2,52599,69012,0.0006103890226590858
thought-terminating cliché,2022-S2,2023-S1,69012,54154,0.00043979643217828546
thought-terminating cliché,2023-S1,2023-S2,54154,82243,0.0007298728069659033
thought-terminating cliché,2023-S2,2024-S1,82243,134915,0.0005527374545553077
thought-terminating cliché,2024-S1,2024-S2,134915,98479,0.0008720757261970746
