term,diff
nation,-0.0007218519577754092
central,-0.0007211484525505885
decision,-0.0007200522543676604
hispanic,-0.0007183693558156863
people people,-0.0007084373856616928
cause,-0.000706678605974895
legal,-0.0007045073339489805
mental,-0.0007032805676155044
wrong,-0.0006986686537911473
reason,-0.0006939721755492749
california,-0.0006939403521155577
illegal immigrant,-0.0006930276392940705
property,-0.0006879812361975477
agenda,-0.000681236704705926
housing,-0.0006798773712780506
grandchild,-0.0006761962002712802
racism,-0.0006708434683953446
black man,-0.0006684512533376095
desperate,-0.0006678340800638281
shooter,-0.0006656299480803361
dealer,-0.0006643183763540663
putin,-0.0006624318081674375
food,-0.0006589337809541015
homeless people,-0.0006560933362560969
county,-0.0006559806483967767
violent,-0.0006555513714607887
southern,-0.0006551570523069493
southern border,-0.0006549667291614481
hole,-0.0006538291266876516
agent,-0.0006512706090413073
run,-0.0006476804273789108
law,-0.0006429246366845527
color,-0.0006418943741855908
day,-0.0006378919838150206
race,-0.0006351319670741553
sweden,-0.0006315107215871704
bunch,-0.0006216378473481061
business,-0.0006201645775387591
love,-0.0006114504829989085
random,-0.0006047283505603955
trade,-0.0005984235661320247
drug dealer,-0.0005961101660660286
future,-0.0005957222227602776
crap,-0.0005955873493807691
illegal country,-0.000595487645573695
sexual,-0.000593801456165332
low,-0.00059247979884942
civil,-0.0005922680825430598
soul,-0.0005876526126013176
able,-0.0005853932908148887
republican,-0.0005809944706681423
cartel border,-0.0005806007438929401
attention,-0.0005792277801714815
everyday,-0.0005708796575173372
shortage,-0.000569812670855815
latin,-0.0005674276364951663
charge,-0.0005649627791171182
operation,-0.000551620915593325
real,-0.0005457761062666639
spy,-0.0005455240945233916
ocean,-0.0005449261243144737
mother,-0.0005425733652361907
elite,-0.0005403568364360336
poor people,-0.0005358239302568507
natural,-0.0005319815106316788
tran,-0.0005216928639825587
family,-0.00052167527147452
condition,-0.0005213213482974813
culture,-0.0005173886004952099
neighborhood,-0.0005171191676704612
word,-0.0005157991715164782
crack,-0.0005153721399460814
crazy,-0.0005145674817940815
paso,-0.0005141494851207439
burden,-0.0005125997933114494
doctor,-0.0005108834061393775
white people,-0.0005082698315381902
end,-0.0005065922532011286
effect,-0.0005040944237539335
folk,-0.0005012240186131214
immigration,-0.0004995830155826841
course,-0.0004948431133790013
video,-0.0004947141020751754
near,-0.0004900294284244586
citizen,-0.00048495050285911855
tax payer,-0.0004833256489247778
organization,-0.0004806702333341599
criminal country,-0.0004780894851147866
car,-0.00047651738172597557
rich,-0.00047306415529246523
tax,-0.00047206115795990575
example,-0.0004709603608721348
mind,-0.00046988481987806697
news,-0.0004645001419912498
states,-0.00046449726238722644
accountable,-0.0004643456938374398
refugee,-0.0004618833562733248
neighbor,-0.0004611019176430878
president,-0.0004556393295378734
country country,-0.0004521688565284355
el paso,-0.00045110834064211855
venezuelan,-0.0004475807298459641
undocumented,-0.00044542736799728074
politic,-0.000443162294571399
