term,diff
thousand,-0.0003336602395194717
internet,-0.0003328439664434279
moment,-0.00032410993758722004
hair,-0.0003201164373408012
little,-0.0003194750230455742
left wing,-0.00031889797899743575
lefty,-0.0003155086955023788
racial,-0.00031300915368036764
father,-0.00031281524160278425
hilarious,-0.0003127901931497532
food,-0.0003120987984426137
mass,-0.000311299236666329
bag,-0.00031063981906937784
gay,-0.00030550643042968125
medical,-0.0002992091485214391
matter,-0.0002975855674260591
city,-0.0002971709365835111
certain,-0.0002948983987559637
book,-0.0002923895565996328
safety,-0.00029128886071349994
gain,-0.0002892251882421111
strange,-0.00028849447541391037
random,-0.0002882812904463235
trump office,-0.00028691444827018815
danger,-0.00028677225407835224
bro,-0.0002863198971238589
liberal,-0.0002846516907920242
mind,-0.00028138582779699793
george,-0.00028072866639855727
silly,-0.0002805295757758058
normal,-0.00028009050653984694
scared,-0.0002799765760393614
weakness,-0.00027870566730894234
natural,-0.0002783658892755748
suffering,-0.00027548584509305083
bunch,-0.0002751756856856178
section,-0.00027471567739893515
extreme,-0.0002717788968139738
definition,-0.00027034255332626504
place,-0.0002684570442650874
voice,-0.0002670284235895382
light,-0.00026546336651336313
king,-0.00026501026875200235
scumbag,-0.0002635410535385821
claim,-0.0002623341726232972
lady,-0.00026144786845498733
cold,-0.0002554817365344722
poor people,-0.00025323526803259784
blood hand,-0.0002516035945125962
community,-0.0002513485045524265
shameful,-0.0002494857625894393
church,-0.00024853517108894437
boy,-0.000248292998411319
shapiro,-0.0002475870697716899
concept,-0.00024628294762498744
bit,-0.0002439915059778649
war ukraine,-0.00024394073186917794
wife,-0.0002438477219158375
welfare,-0.00024344675325406343
ill,-0.00024238757371289424
corporate,-0.00023742455777617233
human life,-0.00023683972707349362
bs,-0.00023494616082376076
profit,-0.00023057179888176434
vacation,-0.0002281773101910157
tragedy,-0.00022633010273195246
hearing,-0.00022590474277593513
attempt,-0.00022500708928962837
stock,-0.00022401479909281755
tactic,-0.0002218197764516823
employee,-0.00021887658025850965
political,-0.00021612383295072958
idiot,-0.00021397448489045897
turd,-0.0002091994410556643
justice,-0.00020758188706982512
horrible,-0.00020653783392178549
camera,-0.00020592616588151002
good job,-0.00020465163627805263
husband,-0.00020136054782058835
trump administration,-0.000195645774362409
rock,-0.00019560797615065693
stupidity,-0.00019545583621661936
lying,-0.00019522731300940265
typical,-0.00019145258658424228
funny,-0.00019035968285298528
phone,-0.00018637573696180898
strong,-0.00018388434321076042
faux,-0.0001834481931523381
statement,-0.000182520971494527
empathy,-0.00017975439917120153
bot,-0.00017897680876442703
greed,-0.00017764009399801056
garbage,-0.00017614316985919574
need,-0.0001748669051031917
circle,-0.00017440176203384079
belief,-0.0001737958258798444
doctor,-0.00017375382374044317
hunter biden,-0.00017176838513635031
goal,-0.00017095237566474664
debate,-0.00017084328477767746
biden fault,-0.00017002551922455547
deep,-0.00016547668037708867
loan,-0.00016215373629869829
sociopath,-0.00016208289729482614
honest,-0.00016201903150960028
border policy,-0.00015930541709233484
humanity,-0.00015913213898971577
surprising,-0.00015787372700701123
experience,-0.00015554603792001273
picture,-0.0001548280815648821
vile,-0.00015482197308217742
soul,-0.000153624382623036
network,-0.00015052091314123105
modern,-0.0001497514329633325
fun,-0.00014859164215811753
odd,-0.00014671249369574825
brain,-0.00014641306047028218
jet,-0.00014584334787501964
answer,-0.00014418267131637843
dark,-0.00014321412068551737
news channel,-0.00014257237272939514
military,-0.00013952471484504126
major,-0.00013866687797581316
base,-0.00013833125159422592
threat,-0.00013813564602962493
car,-0.00013786396349002496
circus,-0.0001353388771277328
advice,-0.000134819900085798
cult,-0.00013356765291299333
nation,-0.00013198569630195407
surprise,-0.00013074626855061225
toxic,-0.00012918041121262993
credit,-0.00012913800061401133
mean,-0.00012901597314624318
promise,-0.0001279154873773448
stage,-0.0001253787863380288
common,-0.0001242605495788996
free,-0.00011678542611059115
long,-0.00011566622048129267
favor,-0.00011559209971602317
scotus,-0.00011515320975887905
process,-0.00011433508646178253
humanitarian,-0.00011410962158879588
lot people,-0.00011149017858665643
trade,-0.00010882407934796249
freedom,-0.0001082135538909398
scam,-9.920829166526279e-05
trudeau,-9.777626074481088e-05
yr,-9.775834048050808e-05
general,-9.609096657030216e-05
support,-9.584261020053361e-05
run,-9.569574392698466e-05
space,-9.559566164306864e-05
majority,-9.513514831670504e-05
moron,-9.335520570849477e-05
important,-9.276761177758736e-05
basis,-8.978597814245212e-05
ben shapiro,-8.953522151152724e-05
bank,-8.810241454260766e-05
account,-8.52492724754565e-05
convenient,-8.484563163166652e-05
like,-8.012360951982928e-05
tough,-7.842581035668786e-05
son,-7.694836795163517e-05
sentence,-7.539749663899734e-05
state,-7.254463188071606e-05
laugh,-7.251030458004675e-05
help,-7.073632010000917e-05
baby,-6.941867708875065e-05
