term,diff
soldier,-0.0006719670191169124
uk,-0.0006687267738435564
home country,-0.000667894348900447
people racist,-0.0006672123175227766
jewish,-0.0006614327114334896
people ukraine,-0.0006606875484705874
country border,-0.0006595990915032907
trucker,-0.0006595926749856495
refugee europe,-0.0006591660657484187
peace,-0.0006554919433163335
ukraine year,-0.0006509427894938067
attitude,-0.000648489686508765
worker,-0.0006477073328609285
white black,-0.0006454598265127916
fight,-0.0006390739935075752
covid,-0.0006292271314854859
refugees,-0.0006259303240003718
president trump,-0.0006246414110417178
coverage,-0.0006237701192156202
riot,-0.0006213623405212976
country country,-0.00062054059325768
refugee ukraine,-0.0006176724695290127
people white,-0.00061375536849289
similar,-0.0006131009685081563
butter smoothie,-0.0006100604372536715
special,-0.0006082571966954472
war zone,-0.0006072302112038055
human right,-0.0005990762684725363
consistent,-0.0005990398661420093
white house,-0.0005942391256409103
palestinians,-0.0005892938819351822
nazis,-0.0005859908654927523
need,-0.0005833331648739553
central,-0.0005831643628052697
brown black,-0.0005827831805447113
elderly,-0.0005826929098841754
death,-0.0005814214798819105
truth,-0.0005742558177657892
english,-0.000564734595937657
mandate,-0.0005561924279507363
dark,-0.0005556574362430108
fault,-0.0005534412496122808
class,-0.0005518026471174975
mexicans,-0.0005482612869846968
mother,-0.0005439748841007262
slave,-0.0005392396843023185
past,-0.0005325727451680765
black white,-0.0005308859239047352
enemy,-0.000527557871798191
equal,-0.0005219396631521914
responsible,-0.0005219235182766836
world war,-0.0005213517924696751
police,-0.000518200249117722
ukranians,-0.0005169720403930171
year,-0.0005123904937447471
allergic peanut,-0.0005074208626291216
latin,-0.0005022175749622381
kindness,-0.0004988251868428398
shoe,-0.0004984260229526506
man ukraine,-0.0004980219081603956
daughter,-0.0004977327914910963
japan,-0.0004950584658863527
concern,-0.0004923460685943952
ukraine country,-0.0004919691808042519
wanna,-0.00048776990183085444
blonde,-0.00048332184582610213
special treatment,-0.00048270267124682267
eastern europe,-0.00048232984232425276
ppl,-0.0004819711892918167
election,-0.00047332008615628973
country people,-0.00047098605201540956
southern border,-0.00046971046650721776
protest,-0.0004687453764846582
people country,-0.00046788687086501317
modern,-0.0004669806366459325
energy,-0.00046691408890746746
chance,-0.0004654665261133288
sad,-0.00046520954185966517
ass,-0.0004556113890014503
genocide,-0.0004541587976864569
gender,-0.00045415442409950255
war ukraine,-0.0004533645916540036
man woman,-0.0004504621551101762
hindu,-0.00045018336780760745
speech,-0.00044751419865398344
prison,-0.0004454101749413554
hard,-0.0004380745916315315
dream,-0.0004377671084575663
convenient,-0.0004348503399987737
central americans,-0.0004348010343641499
jews,-0.00043263991069770937
blue eye,-0.0004276031818580624
people black,-0.0004254200526632665
cherry,-0.00042519967145813813
arabs,-0.0004242572208720824
